Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
House of Wax,Jaume Collet-Serra,2005,16,4,5.3,R,Horror,May,"$40,000,000","$68,766,121",No,108,,,,,,,
House on Haunted Hill,William Malone,1999,14,3,5.6,R,"Horror, Mystery, Thriller",October,"$37,000,000","$42,593,455",No,93,,,,,,,
Hush,Mike Flanagan,2016,7,2.5,6.6,R,"Horror, Thriller",April,"$1,000,000",,Yes,87,,,,,,,
I Am Legend,Francis Lawrence,2007,9,2.5,7.2,PG-13,"Drama, Sci-Fi, Thriller",December,"$150,000,000","$585,349,010",No,104,,,,,,,
I Am Not a Serial Killer,Billy O’Brien,2016,3,1,6.2,NR,"Drama, Horror, Thriller",August,"$1,254,470","$21,148",No,104,,,,,,,
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,4.5,NR,"Horror, Mystery, Thriller",October,,,Yes,87,,,,,,,
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,5.7,R,"Horror, Mystery",October,"$17,000,000","$125,586,134",Yes,99,,,,,,,
Identity,James Mangold,2003,11,2.5,7.3,R,"Mystery, Thriller",April,"$28,000,000","$90,259,536",No,91,,,,,,,
Idle Hands,Rodman Flender,1999,10,3,6.2,R,"Comedy, Fantasy, Horror",April,"$25,000,000","$4,152,230",No,92,,,,,,,
In The Mouth Of Madness,John Carpenter,1994,10,3,7.2,R,"Drama, Horror, Mystery",February,"$8,000,000","$8,924,549",No,95,,,,,,,
In the Tall Grass,Vincenzo Natali,2019,4,1,5.7,TV-MA,"Drama, Horror, Thriller",October,,,Yes,90,,,,,,,
Incarnate,Brad Peyton,2016,9,2.5,5.2,PG-13,"Horror, Thriller",December,"$5,000,000","$6,341,855",No,91,,,,,,,
Inland Empire,David Lynch,2006,8,2.5,6.9,R,"Drama, Mystery, Thriller",February,,"$4,044,781",No,180,,,,,,,
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1,6.8,NC-17,Horror,June,"$3,000,000","$792,184",No,82,,French,France,,,,
Insidious,James Wan,2010,24,5,6.8,PG-13,"Horror, Mystery, Thriller",April,"$1,500,000","$97,009,150",No,103,,,,,,,
